Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20220726121358,1,1276.37,1612,exec20220726121358
AAPL,algo20220726121358,1,1276.37,1612,exec20220726121359
AMZN,algo20220726121404,1,133.47,821,exec20220726121404
GOOG,algo20220726121408,1,42.05,2851,exec20220726121408
PEP,algo20220726121413,1,36.21,3406,exec20220726121413
CSCO,algo20220726121417,1,233.73,4218,exec20220726121417
CSCO,algo20220726121417,1,233.73,4218,exec20220726121418
AMGN,algo20220726121421,2,116.62,4303,exec20220726121421
AMGN,algo20220726121421,2,116.62,4303,exec20220726121422
AMGN,algo20220726121421,2,116.62,4303,exec20220726121423
AMGN,algo20220726121421,2,116.62,4303,exec20220726121424
TSLA,algo20220726121429,1,503.77,1401,exec20220726121429
AVGO,algo20220726121433,1,262.99,3431,exec20220726121433
MDLZ,algo20220726121442,1,52.26,2706,exec20220726121442
DDD,algo20220726121446,1,8.01,4736,exec20220726121446
AHC,algo20220726121455,1,1.40,4011,exec20220726121455
ATEN,algo20220726121459,1,6.45,6041,exec20220726121459
AAN,algo20220726121503,1,25.68,106,exec20220726121503
ABM,algo20220726121512,1,31.64,6306,exec20220726121512
ABM,algo20220726121512,1,31.64,6306,exec20220726121513
PEP,algo20220726121519,1,45.43,4591,exec20220726121519
